"","typeH","typeN"
"NA.40416","3.2735847800746e-23","3.23059769878328e-23"
"NA.40417","4.23867572994789e-17","5.35794131579922e-17"
"NA.40418","4.95267645678196e-16","8.67596410999018e-16"
"NA.40419","1.16918103709832e-16","1.46344244885505e-16"
"NA.40420","5.68011616246287e-13","6.28523678322641e-13"
"NA.40421","2.02012607347269e-14","2.77014571985595e-14"
"NA.40422","4.58218646763658e-16","5.86491375277682e-16"
"NA.40423","5.1900360703258e-20","7.1444938551597e-20"
"NA.40424","1.72671355202169e-13","2.2920403105124e-13"
"NA.40425","7.35789982442154e-15","4.77487043454304e-15"
"NA.40426","1.88808836103175e-19","1.52266876767096e-19"
"NA.40427","1.02419570294721e-15","9.40647217045786e-16"
"NA.40428","2.23829362986571e-24","3.39839089653428e-24"
"NA.40429","1.71202802709168e-15","2.87455059640628e-15"
"NA.40430","1.31437587199938e-24","2.00372463444026e-24"
"NA.40431","3.49952877530384e-21","6.92126760965654e-21"
"NA.40432","5.34415770447972e-14","1.16718502206862e-13"
"NA.40433","1.92659042225069e-21","2.39530319954502e-21"
"NA.40434","1.84668695500369e-16","2.29475831169669e-16"
"NA.40435","1.04147500958197e-15","1.1832165484397e-15"
"NA.40436","3.29054161125759e-15","5.89638884225391e-15"
"NA.40437","5.5843656185264e-16","1.58711237251169e-15"
"NA.40438","9.05717941729217e-13","1.03489462835315e-12"
"NA.40439","8.01274030056171e-17","1.0470574057293e-16"
"NA.40440","6.72441003181555e-25","8.04199222600796e-25"
"NA.40441","2.86287036346063e-12","3.69148560569617e-12"
"NA.40442","1.2942187082077e-14","3.09920372092283e-14"
"NA.40443","4.91084491793313e-19","6.45433343905096e-19"
"NA.40444","1.13772824584588e-14","1.90797805245133e-14"
"NA.40445","9.84736514981021e-14","1.16093724095977e-13"
"NA.40446","3.01777609237067e-13","3.52644390100029e-13"
"NA.40447","4.53763722106276e-16","5.08007809966028e-16"
"NA.40448","7.44202410032136e-13","5.03010476186442e-13"
"NA.40449","6.54647989978434e-11","2.2885837923345e-11"
"NA.40450","2.46451002144868e-14","1.59867704234532e-13"
"NA.40451","2.16270090978386e-15","3.97071011552282e-15"
"NA.40452","1.06194382719714e-13","1.68930970286196e-13"
"NA.40453","2.02249520423362e-14","1.90238162376865e-14"
"NA.40454","1.57778710384315e-15","2.78988568707727e-15"
"NA.40455","9.98313224308393e-15","4.61613545276043e-14"
"NA.40456","5.79393284767301e-15","6.62117237077408e-15"
