"","typeH","typeN"
"AB000409","1.08461175193616e-20","6.33981844123535e-21"
"AB000463","6.40992506521127e-20","3.51903730231544e-20"
"AB000781","5.3748561426829e-10","1.47540530177541e-10"
"AB001328","2.99777568465759e-13","2.76433257450465e-13"
"AB002294","1.82103756056753e-20","2.67477598720064e-20"
"AB002308","3.13048192083489e-21","2.27213365964102e-21"
"AB002311","1.61996632496425e-19","7.03494967850002e-20"
"AB002313","1.42821612940558e-23","1.30633262408672e-23"
"AB002360","1.50316309395322e-16","1.94207516417829e-16"
"AB002377","1.17098705946918e-14","3.15626548824496e-15"
"AB002381","4.61984871342863e-16","1.68165016650719e-16"
"AB002382","1.23564678260818e-21","5.76127431129586e-22"
"AB002384","4.64401903033317e-11","2.35237918092263e-11"
"AB003177","1.23035813515278e-20","1.86630781100602e-20"
"AB003333","1.15197599476283e-18","1.85372897251825e-18"
"AB006589","1.45724151002519e-16","9.09083319610289e-17"
"AB006590","4.62132182466626e-14","2.8257053459087e-14"
"AB006621","1.01587834060886e-11","2.08853414090114e-12"
"AB006625","5.42362066713123e-12","8.92050753834679e-13"
"AB007457","4.18897528842949e-23","4.019818613648e-23"
"AB007870","4.38575544620157e-16","3.31049883315047e-16"
"AB007877","3.33764037096558e-10","8.32350145828161e-10"
"AB007878","9.53357840413171e-11","3.65661868432328e-11"
"AB007895","3.33676017009568e-15","4.63718303525195e-15"
"AB007921","7.25415034491307e-13","1.44022879454328e-12"
"AB007923","5.8413541189403e-14","4.67116179485917e-14"
"AB007928","1.74012638462521e-18","2.59852501408923e-18"
"AB007937","1.60006816910322e-16","7.60464278944153e-17"
"AB007940","5.0217839753455e-17","2.36573361840125e-17"
"AB008790","1.34677912366578e-14","1.17701071590611e-14"
"AB010419","8.91196812791278e-18","7.38476145176741e-18"
"AB010962","3.03918758614248e-13","1.68909740750234e-13"
"AB011088","7.1113756025952e-19","2.14052031734864e-19"
"AB011097","1.35233552430927e-16","9.50192988235552e-17"
"AB011103","4.80356402349531e-16","3.62287549797303e-16"
"AB011123","5.77899835952373e-13","2.91815263622675e-13"
"AB011154","7.13614830972385e-13","1.59364324222462e-12"
"AB011157","1.00858563741664e-17","5.894054499378e-18"
"AB011163","3.77930024087229e-14","4.22147319491648e-14"
"AB011174","3.46442116307484e-21","8.42244027691302e-21"
"AB011180","1.43040354117328e-12","8.65967070147012e-13"
"AB011539","1.59329444124561e-12","1.90646249773618e-12"
"AB012143","3.49028869089096e-18","2.69499067639058e-18"
"AB012614","4.81576612370168e-13","1.63064022884284e-13"
"AB014512","6.87797872031094e-13","1.14175521154385e-13"
"AB014514","1.19017227862371e-20","1.13622548016479e-20"
"AB014527","1.33818983899238e-19","1.41210055652243e-19"
"AB014576","3.90029952355238e-21","2.4955411177831e-21"
"AB014593","1.67954542893086e-13","4.92126348742197e-14"
"AB014601","1.40559355340312e-15","9.76085746176236e-16"
"AB014605","3.68422567664841e-14","3.96283881234989e-15"
"AB014771","3.70185533541333e-15","2.95056062237995e-15"
"AB015046","1.00939250935954e-16","8.263488028611e-17"
"AB015983","6.58247430404688e-16","3.50632325664386e-16"
"AB016073","3.75385142518398e-14","9.71064380709665e-14"
"AB016898","6.46848707801006e-14","1.37266815445846e-13"
"AB016902","1.14441523885909e-16","1.327228035138e-16"
"AB016929","2.77694338027279e-10","3.69117556651939e-11"
"AB017007","1.725760196094e-14","4.20745804370845e-14"
"AB018258","2.64681200907452e-12","1.0517403803768e-11"
"AB018263","6.55638337206367e-16","7.62222449468302e-16"
"AB018269","1.9578128819352e-22","2.21747394416271e-22"
"AB018304","2.67368747418398e-15","3.48422050242735e-14"
"AB018323","2.02507694111708e-13","2.62581813851326e-13"
"AB018344","4.12562096264496e-20","4.33368397033477e-20"
"AB019254","2.35945336713752e-10","2.60564946518366e-11"
"AB019489","1.42620143683745e-17","2.49602244019945e-17"
"AB019490","8.13301893281529e-17","6.50411172071411e-17"
"AB019491","1.84190738477897e-16","2.55098307581344e-16"
"AB019542","3.19019993299467e-14","2.49323271507038e-14"
"AB020627","3.51866487261126e-14","8.19996548473984e-14"
"AB020633","8.2846720168243e-18","1.27343222767667e-17"
"AB020644","5.1874020468989e-11","4.19306343019584e-11"
"AB020648","7.26790117732597e-19","3.54462265263317e-18"
"AB020652","6.33889078584129e-10","1.17239767822526e-09"
"AB020653","2.0468819383239e-11","1.37160379754084e-11"
"AB020674","4.58989884618105e-20","3.23520467857975e-20"
"AB020696","9.82717992411586e-17","1.23641417589602e-16"
"AB020699","5.4475158277763e-21","5.15533049424181e-21"
"AB020701","8.38171997917904e-11","4.80608924189866e-12"
"AB020703","1.27976308278262e-16","2.44235575629371e-16"
"AB020709","1.59568549653905e-14","3.33216820396028e-14"
"AB020711","1.64232496097016e-16","1.59463025728546e-16"
"AB020714","2.97569165233366e-18","1.09714462493699e-17"
"AB020721","6.62607924586157e-12","5.80461363471602e-13"
"AB020735","7.3747657279989e-15","1.31422541569294e-14"
"AB021642","3.83700841180861e-20","4.0403908659973e-20"
"AB021643","3.85502030605396e-18","3.27558019517796e-18"
"AB021660","1.60815456214187e-14","1.45840054719571e-14"
"AB022434","1.72150028215061e-18","1.83614715336215e-18"
"AB023144","2.08654687653695e-15","2.70039017835162e-15"
"AB023162","2.57427286782911e-18","2.4380942675893e-18"
"AB023164","8.93573000394296e-16","1.20010232059521e-15"
"AB023174","4.86673964982253e-15","2.76907246460674e-15"
"AB023202","4.43228850735827e-15","6.35696304690937e-15"
"AB023209","1.84914046161309e-14","3.21599747782611e-14"
"AB023213","1.68748788596542e-10","5.96977526235445e-11"
"AB023223","3.16483731920611e-15","3.45772678677195e-15"
"AB023225","4.32890758798584e-13","1.7580149294557e-13"
"AB023230","6.46164957644901e-15","1.13156460643709e-15"
"AB024691","1.47931989173164e-14","1.25087386971964e-14"
"AB024964","5.68971293672838e-14","9.21494076638325e-14"
"AB025105","3.15580833994572e-14","4.74540975921024e-15"
"AB025106","2.71617776451836e-14","4.67912334450267e-15"
"AB026722","5.95341833534717e-17","5.39755609420158e-17"
"AB027133","1.47478930685463e-15","1.64664391786912e-15"
"AB028070","6.70390766110038e-14","3.93613668156424e-13"
"AB028944","2.78328282182496e-18","1.43939900768227e-18"
"AB028949","5.17160318150531e-12","3.697719772598e-13"
"AB028953","1.98107538243772e-12","3.17809260658591e-12"
"AB028963","2.6088874167372e-19","2.3553418336588e-19"
"AB028965","2.00791785203873e-18","3.99786071377164e-18"
"AB028966","2.15544302748185e-17","8.03508878134386e-18"
"AB028970","3.05416507915259e-17","1.22409820089302e-17"
"AB028979","2.13633552675527e-14","3.95457356365477e-14"
"AB028986","1.54971509750326e-17","8.81938380573382e-18"
"AB029012","5.61808704455059e-19","9.13550921054632e-19"
"AB029034","4.70402135963381e-16","2.09651273889937e-16"
"AB029331","2.59776805935359e-15","8.59096045756991e-15"
"AB029488","8.81044514093471e-14","4.12992680298036e-14"
"AB030181","5.1258811368869e-15","7.96181145887879e-15"
"AB030240","2.37594353364745e-13","1.3853590222944e-14"
"AB031045","1.68801999599292e-13","1.23506655999145e-13"
"AB032179","6.25905047205887e-16","5.41754317494293e-17"
"AB032251","4.787926198441e-17","9.99462105384147e-17"
"AB032417","1.12264558311673e-15","3.19057770682439e-16"
"AB032592","1.6772215777411e-17","1.45464588836916e-17"
"AB032762","1.78183184869841e-13","1.55647285601068e-13"
"AB032945","1.31169302032561e-13","7.8358371116395e-14"
"AB032951","4.97109120364591e-21","7.49126403704354e-21"
"AB032956","8.05795232775988e-16","1.31003136574721e-15"
"AB032960","5.14435329518767e-15","4.35973042871373e-15"
"AB032966","4.78958847732378e-20","5.39256192019657e-20"
"AB032979","2.04513248899266e-16","5.83513051206393e-16"
"AB032992","3.23963065523209e-13","1.3708654659895e-13"
"AB032995","3.8998107741349e-21","5.14005701603469e-21"
"AB033000","1.3727724325793e-19","1.14587491509238e-19"
"AB033012","2.78867755248371e-10","3.93823636787745e-11"
"AB033021","2.21088614226653e-16","1.99257172808649e-16"
"AB033036","1.00650647188327e-14","1.16568857504884e-14"
"AB033044","4.18745302701461e-12","3.42484448357815e-12"
"AB033045","1.16025208761568e-19","1.44959502538926e-19"
"AB033052","5.08075552954215e-12","4.51945407003943e-12"
"AB033055","2.90860069431612e-16","1.38510958480885e-16"
"AB033058","3.74158335883224e-14","2.30299854078329e-14"
"AB033061","2.51270288324663e-20","1.4911797696625e-20"
"AB033063","3.21093108959e-16","3.71572981218767e-16"
"AB033087","5.09191505599359e-18","1.86117338420582e-18"
"AB033115","1.80904998110366e-18","8.85711871716366e-19"
"AB033132","1.37468747056284e-17","8.21757934261672e-18"
"AB033605","5.51154023908907e-24","1.04118579333106e-23"
"AB033941","1.95226837656432e-12","6.75870380983691e-12"
"AB035700","1.53106664355733e-16","1.08603229600172e-16"
"AB036991","3.50857974781366e-17","1.04012383722898e-16"
"AB037594","9.79790598174365e-18","7.13741684012909e-18"
"AB037723","7.29100841334006e-11","8.53731416032465e-11"
"AB037741","1.22169442617833e-11","1.01692882391193e-11"
"AB037766","3.26327915901168e-14","1.12229047330448e-14"
"AB037774","5.53558398666869e-14","3.92736903252361e-14"
"AB037781","3.251769809464e-11","2.43712296139626e-11"
"AB037789","5.59218706909078e-13","2.77017911618879e-13"
"AB037794","4.40957024629324e-16","3.88189437315993e-16"
"AB037808","1.91700010562293e-17","8.20079964191279e-18"
"AB037819","6.28256710194619e-22","5.76127334190453e-22"
"AB037821","4.33579698335e-14","7.96010207408411e-14"
"AB037832","1.59998233136497e-12","5.17090009647347e-13"
"AB037833","5.39152842856744e-17","3.24352283164932e-17"
"AB037839","2.82066450536891e-24","3.566750857584e-24"
"AB037844","2.26202017181322e-19","1.44716572541794e-19"
"AB037853","1.99527966732919e-12","6.37826535644896e-13"
"AB037860","3.50459214417467e-18","1.61072015791915e-18"
"AB037861","1.00884058427235e-22","1.30680989871721e-22"
"AB037902","5.52384173850448e-11","8.39430067416375e-12"
"AB037911","1.27951893399562e-14","8.06777646392003e-15"
"AB039667","8.44935539786686e-15","9.44422363422552e-15"
"AB039791","2.92281491390099e-18","1.87574885783087e-18"
"AB039886","5.97370221306051e-15","9.56315744559701e-15"
"AB039921","1.96461198293789e-11","2.31769659504479e-11"
"AB040046","7.86585834407765e-18","1.19475836765545e-17"
"AB040413","1.40247917800124e-16","1.60354632957529e-16"
"AB040529","5.83230269220856e-13","1.28501877029343e-12"
"AB040820","8.78151652669651e-14","4.4680700190306e-14"
"AB040822","4.44910109271085e-14","5.08071994897412e-14"
"AB040875","2.2771418074286e-10","1.54764733900075e-08"
"AB040883","1.81112569604215e-18","3.1187050969809e-19"
"AB040885","1.01205263392373e-18","1.09909314615338e-18"
"AB040888","1.37756260191376e-15","2.4353508560894e-15"
"AB040895","1.86798737280289e-12","9.92196669561315e-12"
"AB040937","1.17948464887125e-14","1.49457046761828e-15"
"AB040942","5.02745773924168e-16","4.24444727110478e-16"
"AB040944","3.49394199570273e-14","8.05266125020886e-13"
"AB040946","2.53194010675393e-13","2.64979445592546e-13"
"AB040949","5.8187511441557e-13","4.50442592406217e-12"
"AB040957","4.85740925700674e-15","8.28083072943916e-15"
"AB041019","2.8390033414462e-20","4.01478491243689e-20"
"AB041533","5.81826054267835e-14","4.39099279970034e-14"
"AB041833","1.25662309686947e-21","1.34862093308527e-21"
"AB041834","4.03310400570838e-25","5.33364184244177e-25"
"AB042326","2.97044355009533e-14","4.66253661437903e-14"
"AB042648","6.48120146959835e-11","5.97152414477936e-10"
"AB043588","4.95105212401108e-18","4.60443694441691e-18"
"AB044556","1.54958616695824e-13","6.27362465883812e-13"
"AB044777","7.19392489133439e-19","5.40488437937429e-19"
"AB045131","4.43004933499977e-17","2.07664045238011e-17"
"AB045369","2.00430105450071e-14","1.60321953066546e-14"
"AB045733","6.40262230463605e-18","3.13310212234197e-18"
"AB045830","7.17084533949842e-18","1.14224314978449e-17"
"AB045831","5.42461010326618e-17","2.725558134598e-17"
"AB046399","4.605481291942e-13","9.20043971512305e-13"
"AB046400","6.56777079199228e-13","1.10095201785733e-12"
"AB046614","8.35299113431378e-23","1.03368764324252e-22"
"AB046767","1.14222327139764e-15","8.70831033438811e-16"
"AB046770","3.02058192564454e-12","2.6107290259051e-12"
"AB046775","4.51025918377794e-14","1.07732841813811e-13"
"AB046778","3.96922082064253e-22","4.4943064753276e-22"
"AB046787","8.42179555866968e-13","2.10253858578201e-13"
"AB046826","1.65572732738744e-23","5.21686525415823e-23"
"AB046834","1.57540749602909e-16","1.372386888505e-16"
"AB046859","5.58143811289735e-15","7.37063445429385e-15"
"AB047077","4.38046572956792e-19","1.81186220653304e-19"
"AB047784","8.52533994049717e-18","4.42977474065694e-18"
"AB048796","2.8296384850654e-13","1.71576280491393e-13"
"AB051078","1.89639618340519e-18","3.71210139705394e-18"
"AB051233","6.25441159993037e-14","4.91498146569166e-14"
"AB051428","1.7410333507167e-20","8.77114504718843e-21"
"AB051435","8.58425887800161e-16","9.70786379290279e-16"
"AB051436","1.64235649029656e-15","8.00131803333583e-16"
"AB051443","1.22927552883807e-15","1.15335107332494e-15"
"AB051446","7.81727912615606e-13","8.11019424941715e-13"
"AB051453","1.23618086106559e-13","8.05481212746955e-13"
"AB051462","2.46268930123527e-16","1.08803047644964e-16"
"AB051473","1.23945228766265e-15","3.01742778465019e-15"
"AB051490","1.17801054218244e-15","7.19591076353802e-16"
"AB051500","1.06314865737539e-10","3.15509372794307e-12"
"AB051501","5.30368285072841e-12","9.33540855859744e-12"
"AB051508","2.85054753771762e-19","3.82631221349935e-19"
"AB051518","1.36393917229979e-14","1.79071995888551e-14"
"AB051520","1.09966120084617e-14","7.66164826827194e-15"
"AB051533","1.01397411784836e-15","5.33325949267906e-16"
"AB051543","3.69777092127665e-14","3.32251283417968e-14"
"AB051549","2.80528878613443e-16","3.56565954125395e-16"
"AB051813","4.19640218670157e-13","9.32011555685457e-13"
"AB051853","1.75059143132984e-15","1.25166520284936e-15"
"AB051866","5.85469096555018e-15","5.57020079472576e-15"
"AB052765","1.88920375121164e-20","3.64012948677119e-20"
"AB052917","7.68589120708974e-19","6.12456273427829e-19"
"AB052918","1.01245753145557e-18","8.24324299012511e-19"
"AB053302","1.9417279710556e-16","2.15721301689795e-16"
"AB053321","1.15721701178524e-14","5.93983867055837e-15"
"AB053445","8.27247568500077e-14","1.56873345541695e-15"
"AB054575","5.52346860560255e-16","2.61765476534385e-16"
"AB054881","1.3371885640515e-12","3.94313654476298e-13"
"AB055226","1.54960313083521e-15","2.272370526152e-15"
"AB055227","1.22241069344546e-18","3.15960186900744e-18"
"AB055890","6.65841030695455e-18","3.87556447837741e-18"
"AB056866","2.32292020700061e-15","2.6042003723662e-15"
"AB058703","8.89037464860767e-14","2.33455888921978e-13"
"AB058718","5.17737392307434e-18","1.16367335971083e-17"
"AB058751","9.17218199166694e-18","6.82160334312385e-18"
"AB058757","9.69824407667494e-16","1.37135558510212e-15"
"AB058774","2.15384626977222e-13","1.34396449232887e-13"
"AB058779","1.04749534692113e-16","8.56286009942514e-17"
"AB058780","4.87834419501263e-11","1.27189847902372e-12"
"AB058893","3.04980576765096e-14","3.78591408463373e-14"
"AB058895","3.2199888719779e-13","1.24716245706924e-12"
"AB059277","6.26079511539789e-21","1.16836403934555e-20"
"AB061325","5.79083568475177e-12","4.8746605294167e-13"
"AB061371","3.80505538114808e-16","2.2116173555439e-16"
"AB061669","1.19741739269588e-17","7.64359075977493e-18"
"AB061798","7.72171620018287e-16","3.34633840248388e-16"
"AB062436","2.09694709549526e-21","2.15119573054031e-21"
"AB062477","2.85192849890654e-14","1.38501970027561e-13"
"AB062481","5.02503826434523e-21","1.029048320659e-20"
"AB062482","1.34670813523481e-15","2.24022513627818e-15"
"AB062485","1.76465999880429e-12","8.26374623555806e-13"
"AB062488","1.90638748054543e-10","7.69236762851075e-10"
"AB062787","3.7806551478704e-15","1.03704050638698e-14"
"AB063318","1.16495228235548e-20","3.01310028628085e-20"
"AB064667","2.46153465965082e-16","3.76507385724614e-16"
"AB064670","2.21429076710896e-14","8.66916838171531e-15"
"AB065089","2.93157125621614e-13","6.91525739347348e-13"
"AB066484","7.56780107417665e-21","4.14715972844626e-21"
"AB067467","3.12423545496745e-13","1.34769266490598e-13"
"AB067492","6.13579441138599e-11","2.52251937470929e-10"
"AB067495","1.38778185884194e-14","8.47914088250627e-15"
"AB067502","7.2413948297033e-19","5.31468537559157e-19"
"AB069681","8.4079174510417e-20","1.08613503936797e-19"
"AB070452","9.31030710566413e-11","5.9326000361942e-10"
"AB071195","2.11336567079468e-15","1.77557479113675e-15"
"AB071605","8.65831708752982e-21","9.28937245635402e-21"
"AB072904","3.02099962380549e-15","4.02938572346488e-15"
"AB073382","2.74887628762201e-15","2.61208267162353e-15"
"AB073385","1.25241181303175e-12","8.828320181801e-14"
"AB073386","6.43065855184132e-18","1.61735705049915e-18"
"AB073387","1.04094113205148e-17","4.75363559831087e-18"
"AB073390","5.22755985436772e-18","2.99135892311072e-18"
"AB073393","7.63598745706267e-18","5.63873953843384e-18"
"AB073395","6.09031068656449e-14","4.68105738151294e-14"
"AB073398","2.34478003365702e-14","2.21984043615627e-14"
"AB073660","4.49289828002059e-12","4.14251183036175e-12"
"AB074157","1.07354824475133e-15","4.16523897373038e-16"
"AB074415","2.07245129346167e-19","2.1626041022129e-19"
"AB074416","6.73446915061016e-20","9.72504966473507e-20"
"AB075501","2.6551140903735e-12","2.57648349088032e-13"
"AB075503","1.21135746468272e-13","3.44036625482956e-14"
"AB075509","4.9752429678208e-15","3.72876285962352e-15"
"AB075512","1.79672231744915e-14","4.1610064895077e-14"
"AB075841","7.02655996466504e-11","3.65988197678427e-11"
"AB075843","6.85093960674176e-10","2.21886752748356e-09"
"AB075848","5.02621919142564e-16","3.62165628139821e-16"
"AB075864","5.77833756399995e-14","9.43952670393062e-14"
"AB075868","1.06945134693993e-14","8.17255704621675e-15"
"AB075869","3.27876804679079e-11","1.04056022679782e-12"
"AB076184","1.54400831155831e-20","1.55931402775735e-20"
"AB076384","4.21982633688903e-22","2.9222065230006e-22"
"AB077043","2.16435340923544e-13","3.73599122836654e-13"
"AB077207","3.52302802676717e-17","7.41579087127051e-17"
"AB077208","8.20307692212608e-17","1.96365498435492e-16"
"AB078026","1.61423888770506e-13","3.4091077504717e-14"
"AB078780","4.67935033991957e-09","8.10946067363014e-10"
"AB078876","5.49189867396187e-18","4.31701421192718e-18"
"AB079778","4.38329798480674e-16","2.01424009353488e-16"
"AB080587","1.0253187235083e-14","4.8917631360498e-15"
"AB082524","3.49621537589199e-19","4.35237915970306e-19"
"AB082528","9.12167588275384e-14","8.14620698680124e-14"
"AB082533","5.68143403725881e-18","8.23312418559029e-18"
"AB084087","2.47976693555892e-10","2.76880518315926e-10"
"AB084281","4.59844758863847e-21","6.81603518240142e-21"
"AB084459","3.38638995320509e-12","2.94846125378545e-11"
"AB085683","2.01922665645334e-13","1.15999652716318e-13"
"AB085843","3.32375997318181e-17","4.39420896682741e-17"
"AB085901","3.04964422141024e-17","2.72480611741867e-17"
"AB086378","3.57525995693651e-13","1.10770677103443e-12"
"AB088047","6.63682051814288e-20","1.21901968401569e-19"
"AB088847","2.14880515902258e-12","1.00433021427873e-10"
"AB089958","1.60065863029281e-16","4.77860544464452e-17"
"AB093548","3.75813212234801e-13","4.92391964615862e-13"
"AB094146","4.93388117444119e-16","2.01415666397741e-16"
"AB095365","7.38491541519749e-15","1.30593887794894e-14"
"AB095933","3.61299225471867e-19","2.38237374885625e-19"
"AB095935","6.80424569674978e-10","2.27052634826861e-09"
"AB095936","6.29675874107667e-12","9.54844818581012e-12"
"AB096679","4.91000862856533e-17","2.11328526214556e-16"
"AB096680","3.26387920311731e-15","4.54441317048589e-15"
"AB096935","2.9172933531799e-18","3.82258352217017e-18"
"AB096937","6.75029891845732e-15","9.72283253021256e-15"
"AB096939","1.54046167873719e-15","1.00381642544685e-15"
"AB096941","1.35430024931742e-14","1.62015120861004e-14"
"AB096943","4.0738546521412e-14","1.11927346086514e-13"
"AB096945","1.72310157242717e-13","6.92456467024184e-13"
"AB096946","4.9176692721044e-12","1.52802042786646e-11"
"AB096949","3.21330615833461e-15","5.34327399893581e-15"
"AB096950","1.52689909981293e-14","2.7836098200173e-14"
"AB096952","2.27974376990061e-12","4.02114266439735e-12"
"AB096956","2.85198665821143e-13","4.76924053517638e-13"
"AB096957","1.01618865860355e-13","2.7286732630843e-13"
"AB096958","5.32757665524345e-15","9.77411012982953e-15"
"AB096959","1.82411591876046e-12","4.2450128718026e-12"
"AB096964","8.35433098081743e-16","1.83560796004462e-15"
"AB097013","5.94191577524187e-15","3.91368505778922e-15"
"AB097018","1.65733956094942e-13","1.72824692030371e-13"
"AB097021","1.04474244308092e-19","1.16011394532715e-19"
"AB100373","1.44145383484123e-18","5.20404273368116e-19"
"AB102644","6.47150081459103e-15","1.42445786253492e-14"
"AB102716","2.78600671004082e-13","3.04519932210238e-12"
"AB102720","1.58046683518616e-13","1.54121592883235e-12"
"AB102793","1.65087164870997e-11","2.39009688585625e-11"
"AB102795","5.42198445306212e-13","6.73983830419591e-13"
"AB102799","2.09465686788391e-11","9.6736473804122e-12"
"AB102869","2.12685216358164e-14","1.50543460734704e-14"
"AB102884","8.53839981646334e-22","1.23218910546603e-21"
"AB102888","2.21162003002302e-16","9.32699090799575e-17"
"AB102894","1.96930375033792e-14","4.88127915804899e-15"
"AB103083","3.36646418768715e-19","5.07140372052747e-19"
"AB103086","5.1203677161478e-19","8.91085385496034e-19"
"AB107353","1.56975348403909e-14","1.59820667506606e-14"
"AB109023","3.69884369722287e-15","1.94575299439478e-15"
"AB109552","1.48510310159002e-14","1.90377874134812e-14"
"AB110790","6.47416541916094e-12","1.31170747615603e-11"
"AB110791","6.53255774655887e-13","1.26966321957068e-12"
"AB112582","1.41810258144898e-14","8.19997614762822e-15"
"AB112583","8.14343304339699e-14","1.19163239428208e-13"
"AB113249","4.58907078632543e-13","4.57555083712382e-12"
"AB113382","8.38404593309638e-12","4.76431239314023e-13"
"AB115332","9.61686867518894e-17","2.57308577462801e-16"
"AB117974","6.3135195988284e-14","1.72240461880144e-13"
"AB118749","2.12858897436792e-14","1.51366468914204e-14"
"AB126077","3.55756942099135e-17","7.74066546320494e-17"
"AB126828","7.90067747046595e-15","5.76682088433613e-15"
"AB127078","9.1958125982939e-08","7.77605379433081e-07"
"AB154416","5.04332177184995e-14","4.5372403801941e-13"
"AB158469","2.65922902805547e-14","3.57144139594502e-14"
"AB158503","4.56082580888857e-11","7.2027447734286e-12"
"AB163437","2.32420927426125e-10","1.47602135324283e-10"
"AB163438","9.77172697728013e-14","9.35888501150592e-14"
"AB163917","3.7991695312351e-11","5.0804665747545e-11"
"AB166669","4.44417626650432e-11","2.87707949096589e-11"
"AB166670","1.08872508395523e-11","8.1087113476351e-12"
"AB176708","3.48531834708656e-11","5.21195935173865e-11"
"AB177850","1.18908491790377e-19","1.53228142977378e-19"
"AB177859","2.96260640135971e-13","3.04094023725977e-13"
"AB180041","5.25637501788925e-18","6.66460568045861e-18"
"AB180042","1.58133289974762e-11","3.14221712672323e-11"
"AB180043","3.34427767740489e-12","4.73203436068609e-12"
"AB185927","9.20292627264113e-17","5.11396328385014e-16"
"AB188306","6.00841132664455e-24","5.28538683145151e-24"
"AB188489","6.39586528032192e-14","6.65508168479854e-14"
"AB188491","2.92484608599834e-15","7.81759281393385e-16"
"AB188493","4.61357681403542e-18","5.0950327409289e-18"
"AB188496","1.35108946107387e-11","5.23993880879621e-12"
"AB189172","1.25144875239656e-12","4.74189814988055e-12"
"AB190910","6.84629443104748e-14","3.78120405827851e-13"
"AB191259","1.64290751207921e-14","1.34920699664607e-14"
"AB191261","1.4177238195323e-23","1.07314167788599e-23"
"AB194232","9.75651527773674e-19","4.87422060165448e-19"
"AB196634","1.01185115507617e-16","3.67125112149173e-16"
"AB196635","1.25493893440156e-13","2.04639843455332e-13"
"AB208789","2.22795990440252e-13","2.08899324168736e-13"
"AB208805","1.88291316965845e-16","1.49910368920284e-16"
"AB208816","2.82953485453318e-20","1.03122521311984e-20"
"AB208831","1.98143358336484e-22","1.21967593822429e-22"
"AB208847","9.87430800540612e-17","1.46983116923752e-16"
"AB208898","9.39889468913423e-11","3.91644818241246e-11"
"AB208930","2.5786560849444e-10","2.27138818075742e-10"
"AB208933","3.07983741075646e-18","2.51477140388064e-18"
"AB208935","1.21869184855151e-15","7.98879319484608e-16"
"AB208963","1.0560339358387e-21","8.0468681173393e-22"
"AB208968","3.02511276448218e-18","1.70227011062658e-18"
"AB208975","3.44234318396368e-22","3.55257929994497e-22"
"AB209006","3.55589251344882e-23","4.83200066887052e-23"
"AB209057","5.24794353895526e-16","1.38326010047759e-16"
"AB209063","3.70346529910403e-12","7.28832547598135e-13"
"AB209070","2.18772778452312e-18","3.2145095722221e-18"
"AB209095","1.64851953956848e-22","1.5621159781453e-22"
"AB209109","7.90058129655082e-18","5.86567573287576e-18"
"AB209119","8.32141468497725e-18","7.5870244125044e-18"
"AB209120","3.9995717305306e-12","3.68093686144259e-12"
"AB209181","2.8688507747084e-11","1.08105884105343e-10"
"AB209221","7.04180370351263e-17","6.59503412357625e-17"
"AB209244","1.23689796442077e-20","9.04915786399877e-21"
"AB209247","9.79401978601969e-15","1.33937354602906e-14"
"AB209248","4.07030192300079e-18","5.84875215835889e-18"
"AB209268","1.7734118321542e-20","1.99685886702183e-20"
"AB209269","7.1918045969881e-12","7.81629122470086e-12"
"AB209288","9.26048591358655e-15","7.84946403204289e-15"
"AB209302","4.33177923734074e-14","1.78651886433969e-14"
"AB209327","3.22096271052393e-18","1.26750667725139e-18"
"AB209385","3.2595773348351e-15","3.36058855624937e-15"
"AB209387","9.09065817154038e-16","1.79529876467976e-15"
"AB209399","1.15798443970803e-15","3.13137034889292e-15"
"AB209409","5.14718481343482e-13","9.88052727605418e-14"
"AB209413","9.21437720093285e-20","2.106061749163e-19"
"AB209506","1.52078696023236e-20","1.6360838818094e-20"
"AB209512","6.00366423679849e-16","4.33910647001049e-16"
"AB209513","1.13717418838573e-13","2.53645698995457e-14"
"AB209537","8.84066778340121e-13","9.19869494299716e-13"
"AB209546","6.54849762523505e-15","4.79072728732295e-15"
"AB209571","1.84334890067345e-12","2.30919095503125e-12"
"AB209588","5.58663091207098e-18","2.9929606225037e-18"
"AB209620","1.14825813937038e-16","1.2999368132996e-16"
"AB209633","3.44420501360347e-19","4.37589279491806e-19"
"AB209635","4.31115252454076e-16","8.99808636910739e-16"
"AB209649","2.4486066260236e-19","1.6390027636793e-19"
"AB209669","5.00006034830034e-19","9.1526655281166e-19"
"AB209684","4.95298492780438e-16","7.31534077725763e-16"
"AB209693","1.10761072536698e-22","8.44198327916028e-23"
"AB209701","6.47205522228018e-16","4.45369723166164e-16"
"AB209734","3.67172107084659e-13","1.36215403025983e-12"
"AB209736","7.53025522065392e-20","2.91709404019898e-20"
"AB209761","1.64338204129394e-16","1.27996283213091e-16"
"AB209774","4.30262770406629e-13","5.68011616246287e-13"
"AB209780","4.37919051039382e-16","4.01558091121122e-15"
"AB209784","1.13878272380303e-17","1.25305725304848e-17"
"AB209790","2.79097379056024e-21","1.72103236076162e-21"
"AB209799","2.57693110514182e-20","2.79075444990372e-20"
"AB209812","1.35434561353483e-20","1.65232967081739e-20"
"AB209814","5.89563281008569e-17","7.84578560711302e-18"
"AB209828","3.08541779949288e-21","1.60248685735695e-21"
"AB209832","2.05112568876539e-15","3.23716981001173e-15"
"AB209864","3.67332770966121e-10","3.39386364493924e-10"
"AB209877","3.2281963607198e-20","2.56488942732519e-20"
"AB209907","5.39444506282907e-13","7.44405940612739e-14"
"AB209917","1.32842384641111e-15","2.22386874570225e-15"
